,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
latency,0.11923560819706992,0.6989326225904245,0.6892390661165854,0.24768124158843563,0.453334800120357,0.8879369988588887,0.2809561524187383,0.7149743126685961,0.3673335411856681,0.14338797514970847,0.5157173031795376,0.606380772394856,0.8391561694556617,0.10539064892141455,0.880337724808828,0.9042483184318193,0.9627629501655318,0.8584874807095809,0.884773077317244,0.5733865100484637,0.17740105089103259,0.5556288592119539,0.28189289399073914,0.43625283615802746,0.5169464726526364
bandwidth,38,101,118,144,140,79,115,118,94,105,39,113,113,17,104,129,13,22,30,110,77,133,133,45,51
time,0:00:13.720949,0:00:29.496311,0:00:24.924876,0:00:07.509638,0:00:14.147914,0:00:48.125228,0:00:10.520271,0:00:25.905330,0:00:16.697480,0:00:05.988103,0:00:56.528949,0:00:23.158982,0:00:31.993991,0:00:26.937594,0:00:36.195841,0:00:29.958399,0:05:14.049709,0:02:46.188110,0:02:05.156335,0:00:22.471888,0:00:09.920102,0:00:17.868941,0:00:09.119203,0:00:41.435617,0:00:43.124664
