,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
latency,0.1,0.17,0.24000000000000002,0.31000000000000005,0.38000000000000006,0.45000000000000007,0.52,0.5900000000000001,0.6600000000000001,0.7300000000000002,0.8000000000000003,0.8700000000000003,0.9400000000000004,1.0100000000000005,1.0800000000000005,1.1500000000000006,1.2200000000000006,1.2900000000000007,1.3600000000000008,1.4300000000000008,1.5000000000000009,1.570000000000001,1.640000000000001,1.710000000000001,1.7800000000000011
bandwidth,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130
time,0:00:32.546171,0:00:49.099188,0:00:51.674973,0:00:52.969040,0:00:54.655555,0:00:54.791452,0:00:55.423796,0:00:55.697518,0:00:56.341337,0:00:56.459887,0:00:56.999957,0:00:56.772527,0:00:57.523628,0:00:57.743791,0:00:57.409292,0:00:57.662721,0:00:57.482156,0:00:58.192224,0:00:58.611769,0:00:58.746145,0:00:58.638425,0:00:58.198446,0:00:59.139130,0:00:58.248681,0:00:58.843014
